state,district,total_demo,total_bio,infra_ratio_pct
andaman & nicobar islands,andamans,750,2015,268.30892143808256
andaman & nicobar islands,nicobar,787,1811,229.8223350253807
andaman & nicobar islands,nicobars,4,2,40.0
andaman & nicobar islands,north and middle andaman,2009,6383,317.56218905472633
andaman & nicobar islands,south andaman,3696,10487,283.66242899648364
andhra pradesh,adilabad,29291,52038,177.6526013928718
andhra pradesh,alluri sitharama raju,12871,18607,144.55407085146052
andhra pradesh,anakapalli,13460,6723,49.94428348562514
andhra pradesh,anantapur,68745,93565,136.10246414336837
andhra pradesh,ananthapur,30026,84132,280.18783095214303
andhra pradesh,ananthapuramu,55944,109602,195.91026901421037
andhra pradesh,annamayya,33634,9712,28.874684108815224
andhra pradesh,bapatla,13514,5982,44.26193118756937
andhra pradesh,chittoor,169636,251438,148.2212017425444
andhra pradesh,cuddapah,83667,170796,204.13539226466511
andhra pradesh,dr b r ambedkar konaseema,14156,7306,51.606978879706155
andhra pradesh,east godavari,156025,301850,193.4613461858921
andhra pradesh,eluru,17584,8230,46.80125106624964
andhra pradesh,guntur,177221,291694,164.59243209082393
andhra pradesh,hyderabad,36206,105744,292.0540227027923
andhra pradesh,kakinada,28269,11698,41.37955429784223
andhra pradesh,karim nagar,1151,1697,147.30902777777777
andhra pradesh,karimnagar,10331,17127,165.7665505226481
andhra pradesh,khammam,32368,40958,126.53464734777103
andhra pradesh,krishna,111849,233247,208.53553866785873
andhra pradesh,kurnool,177645,350633,197.37736847438163
andhra pradesh,kv rangareddy,166,404,241.91616766467067
andhra pradesh,kvrangareddy,518,773,148.9402697495183
andhra pradesh,mahabub nagar,12813,13852,108.10051506165132
andhra pradesh,mahabubnagar,81,120,146.34146341463415
andhra pradesh,mahbubnagar,9897,14739,148.9088704788846
andhra pradesh,medak,12963,22445,173.13329219376737
andhra pradesh,nalgonda,29844,32653,109.40861115764784
andhra pradesh,nandyal,27385,10640,38.851968158913316
andhra pradesh,nellore,68123,158477,232.63020374611006
andhra pradesh,nizamabad,5541,10979,198.10537712017322
andhra pradesh,ntr,38070,13559,35.61503506606078
andhra pradesh,palnadu,25495,10053,39.42971446501412
andhra pradesh,parvathipuram manyam,9391,10630,113.18143100511074
andhra pradesh,prakasam,120498,212299,176.1832048398742
andhra pradesh,rangareddi,22265,54595,245.19446690020658
andhra pradesh,sri potti sriramulu nellore,22065,10135,45.93039064624309
andhra pradesh,sri sathya sai,22107,10415,47.10964356793921
andhra pradesh,srikakulam,135699,192607,141.9358879882093
andhra pradesh,tirupati,33230,10398,31.290060485691072
andhra pradesh,visakhapatnam,157193,311303,198.0374569003906
andhra pradesh,vizianagaram,78887,159998,202.81665145522766
andhra pradesh,warangal,34766,51758,148.87105588632897
andhra pradesh,west godavari,126806,220414,173.81848005236304
andhra pradesh,ysr,28186,8608,30.538900911767836
arunachal pradesh,anjaw,760,1171,153.87647831800263
arunachal pradesh,changlang,5659,8183,144.57597173144876
arunachal pradesh,dibang valley,160,471,292.54658385093165
arunachal pradesh,east kameng,1422,4297,301.96767392832044
arunachal pradesh,east siang,2503,3321,132.62779552715656
